N° da fatura,Data da fatura,ID Cliente,País,Quantidade,Valor,Horario,DataBR
C570727,2021-10-12 11:32:00,12471.0,Germany,-1,-1.45,11:32:00,12/10/2021
C543628,2021-02-10 15:51:00,16558.0,United Kingdom,-5,-9.25,15:51:00,10/02/2021
542418,2021-01-27 17:39:00,,United Kingdom,-17,0.0,17:39:00,27/01/2021
C553508,2021-05-17 13:44:00,14000.0,United Kingdom,-3,-1.95,13:44:00,17/05/2021
C577693,2021-11-21 11:48:00,12628.0,Germany,-3,-16.85,11:48:00,21/11/2021
550759,2021-04-20 12:09:00,,United Kingdom,-7,0.0,12:09:00,20/04/2021
C547309,2021-03-22 11:17:00,17416.0,United Kingdom,-12,-45.0,11:17:00,22/03/2021
C555404,2021-06-02 18:28:00,17231.0,United Kingdom,-2,-19.9,18:28:00,02/06/2021
C579925,2021-12-01 09:16:00,15544.0,United Kingdom,-3,-2.55,09:16:00,01/12/2021
C549986,2021-04-13 16:03:00,18178.0,United Kingdom,-2,-7.5,16:03:00,13/04/2021
C562884,2021-08-10 11:25:00,14056.0,United Kingdom,-3,-9.75,11:25:00,10/08/2021
C560842,2021-07-21 12:25:00,14527.0,United Kingdom,-1,-12.15,12:25:00,21/07/2021
C562514,2021-08-05 12:20:00,13408.0,United Kingdom,-1,-11.95,12:20:00,05/08/2021
C561210,2021-07-25 16:58:00,17841.0,United Kingdom,-10,-12.5,16:58:00,25/07/2021
C545502,2021-03-03 11:33:00,15078.0,United Kingdom,-10,-19.5,11:33:00,03/03/2021
C560687,2021-07-20 11:51:00,14606.0,United Kingdom,-28,-23.37,11:51:00,20/07/2021
C569891,2021-10-06 15:46:00,13924.0,United Kingdom,-19,-65.09,15:46:00,06/10/2021
C553557,2021-05-17 17:03:00,13266.0,United Kingdom,-2,-3.2,17:03:00,17/05/2021
C578090,2021-11-22 17:03:00,12483.0,Sweden,-2,-80.0,17:03:00,22/11/2021
C569552,2021-10-04 17:44:00,14533.0,United Kingdom,-1200,-84.0,17:44:00,04/10/2021
C550646,2021-04-19 16:32:00,16873.0,United Kingdom,-6,-14.4,16:32:00,19/04/2021
C571329,2021-10-17 11:32:00,17706.0,United Kingdom,-13,-50.8,11:32:00,17/10/2021
C544557,2021-02-21 12:31:00,17422.0,United Kingdom,-15,-55.35,12:31:00,21/02/2021
C539277,2020-12-16 15:37:00,15777.0,United Kingdom,-3,-25.5,15:37:00,16/12/2020
C577731,2021-11-21 13:06:00,17811.0,United Kingdom,-6,-11.7,13:06:00,21/11/2021
C553866,2021-05-19 14:14:00,14620.0,United Kingdom,-26,-19.5,14:14:00,19/05/2021
C544594,2021-02-21 16:58:00,15079.0,United Kingdom,-1,-1.95,16:58:00,21/02/2021
C554931,2021-05-27 13:21:00,17841.0,United Kingdom,-4,-5.0,13:21:00,27/05/2021
C556920,2021-06-15 13:49:00,13047.0,United Kingdom,-3,-13.85,13:49:00,15/06/2021
C543469,2021-02-08 14:55:00,12709.0,Germany,-12,-83.98,14:55:00,08/02/2021
C572343,2021-10-24 10:40:00,14607.0,United Kingdom,-2344,-2949.28,10:40:00,24/10/2021
C558530,2021-06-30 11:26:00,15039.0,United Kingdom,-2,-17.0,11:26:00,30/06/2021
549142,2021-04-06 15:26:00,,United Kingdom,-24,0.0,15:26:00,06/04/2021
576674,2021-11-16 12:00:00,,United Kingdom,-6,0.0,12:00:00,16/11/2021
C553841,2021-05-19 12:19:00,16029.0,United Kingdom,-48,-9.6,12:19:00,19/05/2021
C551015,2021-04-26 11:06:00,12753.0,Japan,-33,-85.47,11:06:00,26/04/2021
C565681,2021-09-06 10:42:00,15521.0,United Kingdom,-92,-192.4,10:42:00,06/09/2021
C576831,2021-11-16 14:56:00,12748.0,United Kingdom,-1082,-1301.0,14:56:00,16/11/2021
C537383,2020-12-06 13:17:00,16550.0,United Kingdom,-3,-9.05,13:17:00,06/12/2020
541967,2021-01-24 13:35:00,,United Kingdom,-3,0.0,13:35:00,24/01/2021
C546894,2021-03-17 18:21:00,14334.0,United Kingdom,-1,-12.75,18:21:00,17/03/2021
576767,2021-11-16 13:12:00,,United Kingdom,-60,0.0,13:12:00,16/11/2021
C565290,2021-09-02 11:46:00,16092.0,United Kingdom,-24,-30.0,11:46:00,02/09/2021
C554011,2021-05-20 12:55:00,13151.0,United Kingdom,-2,-7.5,12:55:00,20/05/2021
C575940,2021-11-13 11:38:00,17838.0,United Kingdom,-458,-466.6,11:38:00,13/11/2021
