N° da fatura,Data da fatura,ID Cliente,País,Quantidade,Valor,Horario,DataBR
548370,2021-03-30 16:14:00,15528.0,United Kingdom,123,229.33,16:14:00,30/03/2021
575767,2021-11-11 11:11:00,17348.0,United Kingdom,163,209.73,11:11:00,11/11/2021
549106,2021-04-06 12:08:00,17045.0,United Kingdom,1,39.95,12:08:00,06/04/2021
573112,2021-10-27 15:33:00,16416.0,United Kingdom,357,344.83,15:33:00,27/10/2021
576630,2021-11-16 08:38:00,13816.0,Germany,91,199.98,08:38:00,16/11/2021
538125,2020-12-09 15:46:00,18225.0,United Kingdom,16,30.0,15:46:00,09/12/2020
544354,2021-02-18 10:42:00,13489.0,United Kingdom,64,77.28,10:42:00,18/02/2021
546369,2021-03-11 11:41:00,15513.0,United Kingdom,10,67.5,11:41:00,11/03/2021
570651,2021-10-11 13:34:00,14911.0,EIRE,86,321.35,13:34:00,11/10/2021
539736,2020-12-21 15:18:00,,United Kingdom,143,1172.46,15:18:00,21/12/2020
537823,2020-12-08 14:25:00,,United Kingdom,1484,6073.71,14:25:00,08/12/2020
575581,2021-11-10 11:53:00,12659.0,France,105,91.68,11:53:00,10/11/2021
580987,2021-12-06 16:35:00,17389.0,United Kingdom,96,720.0,16:35:00,06/12/2021
543754,2021-02-11 14:26:00,18159.0,United Kingdom,139,530.15,14:26:00,11/02/2021
563233,2021-08-14 15:56:00,17988.0,United Kingdom,1,2.95,15:56:00,14/08/2021
545417,2021-03-02 13:42:00,15622.0,United Kingdom,222,576.0,13:42:00,02/03/2021
556427,2021-06-10 13:23:00,,United Kingdom,92,435.69,13:23:00,10/06/2021
576571,2021-11-15 13:48:00,12950.0,United Kingdom,164,311.6,13:48:00,15/11/2021
550623,2021-04-19 13:56:00,13719.0,United Kingdom,78,132.9,13:56:00,19/04/2021
576083,2021-11-14 08:22:00,17404.0,Sweden,1060,1238.48,08:22:00,14/11/2021
562417,2021-08-04 16:32:00,,United Kingdom,526,1691.38,16:32:00,04/08/2021
570733,2021-10-12 11:33:00,17190.0,United Kingdom,160,249.74,11:33:00,12/10/2021
537026,2020-12-03 16:35:00,12395.0,Belgium,528,346.1,16:35:00,03/12/2020
552837,2021-05-11 14:24:00,12901.0,United Kingdom,72,140.04,14:24:00,11/05/2021
